Title,Author,Year,Tags,Evidence,Source ,Peer Reviewed,Summary,Link,DOI,Paywall
Endo Ireland,Endometriosis Association of Ireland,2026,"information, support, resource",Support Group,Website,No,"National endometriosis charity of Ireland, lots of information for beginners",https://www.endometriosis.ie/ ,,No
Endometriosis UK,Endometriosis UK,2026,"information, support, resource",Offical health cite,Website,No,"National endometriosis charity for UK, lots of information for beginners, tips for getting support, latest research etc",https://www.endometriosis-uk.org/,,No
This Won't End Me,"Caesar, T.",2025,"information, support, resource",Support Group,Website,No,"UK/Canada based non-profit, information from lived experiences",https://www.thiswontendme.com/,,No
Navigating the therapeutic itinerary: access to healthcare services and medications for endometriosis,"de Souza Peruzzo, C., Magno, G., Aguiar, P.",2025,"care, Brazil, access to care, services, medication",Academic Paper,Journal,Yes,"A cross-sectional study was conducted from March to June 2022, collecting data on clinical diagnosis, access to health services, medications used, and potential barriers to access. The study revealed that patients with endometriosis face significant challenges in accessing treatment in Brazil, particularly due to the limited therapeutic options and off-label use of medications.",https://journals.sagepub.com/doi/10.1177/22840265251340363,10.1177/22840265251340363,Yes
Endometriosis,WHO,2025,"information, support, resource",Offical health cite,Website,No,"Overview of illness, basic information, starting point to begin gathering resources, FAQ",https://www.who.int/news-room/fact-sheets/detail/endometriosis,,No
Endometriosis,"Wasson, M. for the Mayo Clinic ",2024,"information, support, resource",Offical health cite,Website,No,"Overview of illness, basic information, starting point to begin gathering resources, FAQ",https://www.mayoclinic.org/diseases-conditions/endometriosis/symptoms-causes/syc-20354656,,No
Endometriosis,Cleveland Clinic,2024,"information, support, resource",Offical health cite,Website,Yes,"Overview of illness, basic information, starting point to begin gathering resources, FAQ",https://my.clevelandclinic.org/health/diseases/10857-endometriosis,,No
"Exploring regional healthcare utilisation and quality of care for endometriosis in rural areas in Hesse, Germany: a mixed methods study protocol","Bräuer, L. Geraedts, M.",2023,"utilisation of care, quality of care, rural, Germany, experiences of healthcare",Academic Paper,Journal,Yes,"Outlines utilisation and quality of care, the influence of structural determinants on quality, and the patient’s experiences of endometriosis healthcare in rural Hesse, Germany.",https://bmjopen.bmj.com/content/13/8/e074259 ,10.11336/bmjopen-2023-074259,No
BLEED: Destroying myths and misogyny in endometriosis care,"Lindeman, T",2023,"myths, misogyny, care, experience, medical gaslighting",Systemic Review,Book,No,"Part memoir, part investigative journalism, and all scathing indictment of how the medical system fails endometriosis patients. ",https://ecwpress.com/products/bleed-misogyny-endometriosis,,Yes
ESHRE guideline: endometriosis,"Becker, C.M. Bokor, A. Heikinheimo, O. Horne, A. Jansen, F. Kiesel, L. King, K. Kvaskoff, M. Nap, A. Petersen, K. Saridogan, E. Tomassetti, C. van Hanegem, N. Vulliemoz, N. Vermeulen, N.",2022,"guideline, fertility, pelvic pain, surgery",Academic Paper,Journal,Yes,Systematic review of how endometriosis should be diagnosed and managed. Good graphics showing how medical professionals make decisions based on these guidelines as flowcharts ,https://academic.oup.com/hropen/article/2022/2/hoac009/6537540 ,10.1093/hropen/hoac009,No
"Vagina Problems: Endometriosis, Painful Sex, and Other Taboo Topics","Parker, L",2020,"lived experience, painful sex, quality of life",Personal Ancedote,Book,No,"Lived experience of the author's life with endometriosis: includes diagnosis, dating, sex, and work-life balance",https://read.macmillan.com/lp/vagina-problems/,,Yes
Phgendo,"Madden, S.",2019,"lived experience, quality of life, surgery",Personal Ancedote,Blog,No,Personal account of living with endometriosis and its impact on quality of life,https://phgendo.wordpress.com/ ,,No
The cost of illness and economic burden of endometriosis and chronic pelvic pain in Australia: A national online survey,"Armour, A. Lawson, K. Wood, A. Smith, C.A. Abbott, J",2019,"health economics, economic impact analysis, Australia",Academic Paper,Journal,Yes,Academic paper discussing the financial burden of endometriosis on the national economy of Australia,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0223316,10.1371/journal.pone.0223316,No
Endometriosis Overview,HSE,2019,"information, support, resource",Offical health cite,Website,No,"National health board of Ireland's overview of illness, basic information, FAQ",https://www2.hse.ie/conditions/endometriosis/,,No
"Impact of endometriosis on women's health: comparative historical data show that the earlier the onset, the more severe the disease","Ballweg, M.",2004,"age, delayed diagnosis, severity",Academic Paper,Journal,Yes,Systematic review of confirmed cases of endometriosis and the influence of disease onset on severity of symptoms,https://www.sciencedirect.com/science/article/abs/pii/S1521693404000045?via%3Dihub ,10.1016/l.bpobgyn.2004.01.003,Yes
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
,,,,,,No,,,,
